Date,Time,Average,Peak
2013:02:24,04:20:42.512,58.362994,58.362994
2013:02:24,04:20:42.608,53.648627,53.680191
2013:02:24,04:20:42.708,54.065833,54.151920
2013:02:24,04:20:42.809,53.669639,53.736226
2013:02:24,04:20:42.908,51.759974,51.774064
2013:02:24,04:20:43.008,55.448493,55.490005
2013:02:24,04:20:43.108,56.040115,56.049313
2013:02:24,04:20:43.209,53.840072,53.840072
2013:02:24,04:20:43.308,54.191338,54.248920
2013:02:24,04:20:43.408,52.492781,52.492781
2013:02:24,04:20:43.512,57.633005,57.662900
2013:02:24,04:20:43.609,59.204762,59.251690
2013:02:24,04:20:43.709,58.982805,58.996834
2013:02:24,04:20:43.810,59.242887,59.242887
2013:02:24,04:20:43.908,58.354935,58.379787
2013:02:24,04:20:44.008,53.414920,53.459203
2013:02:24,04:20:44.112,54.670513,54.679556
2013:02:24,04:20:44.213,57.660628,57.681963
2013:02:24,04:20:44.308,54.050285,54.050285
2013:02:24,04:20:44.410,56.350907,56.350907
2013:02:24,04:20:44.512,54.840753,54.847455
2013:02:24,04:20:44.608,53.867633,53.882265
2013:02:24,04:20:44.708,58.250631,58.257890
2013:02:24,04:20:44.813,58.117352,58.117352
2013:02:24,04:20:44.908,53.320725,53.322144
2013:02:24,04:20:45.012,51.303506,51.303506
2013:02:24,04:20:45.113,51.437852,51.442254
2013:02:24,04:20:45.210,50.318299,50.378449
2013:02:24,04:20:45.309,51.553928,51.562310
2013:02:24,04:20:45.408,51.983890,51.985083
2013:02:24,04:20:45.510,56.298895,56.298895
2013:02:24,04:20:45.609,51.818594,51.828680
2013:02:24,04:20:45.708,53.172259,53.176406
2013:02:24,04:20:45.813,54.096224,54.096224
2013:02:24,04:20:45.908,53.998493,54.026184
2013:02:24,04:20:46.009,55.278970,55.278970
2013:02:24,04:20:46.112,54.450374,54.450374
2013:02:24,04:20:46.210,53.130688,53.130688
2013:02:24,04:20:46.307,50.395241,50.481763
2013:02:24,04:20:46.411,50.090979,50.115299
2013:02:24,04:20:46.508,51.225105,51.292882
